date,site_visits,orders_count,revenue_usd,support_tickets,promo_flag
2025-01-01,4157,114,7172.0,34,0
2025-01-02,4418,170,10421.59,24,0
2025-01-03,4169,148,10991.89,19,0
2025-01-04,5656,218,15004.27,25,0
2025-01-05,5402,228,17047.79,35,0
2025-01-06,4382,128,9636.39,23,0
2025-01-07,4681,192,11831.6,38,0
2025-01-08,4255,149,10622.14,35,0
2025-01-09,4435,137,8423.99,32,0
2025-01-10,4495,156,11539.38,30,0
2025-01-11,4870,189,14381.5,33,0
2025-01-12,4677,196,12061.71,24,0
2025-01-13,4133,175,14280.41,22,0
2025-01-14,3852,134,10998.35,31,0
2025-01-15,4264,127,8948.35,34,0
2025-01-16,4381,147,10892.8,25,0
2025-01-17,3587,128,9216.96,26,0
2025-01-18,5465,238,18861.59,29,0
2025-01-19,5544,225,12431.98,33,0
2025-01-20,4104,132,9715.37,18,0
2025-01-21,4439,120,7425.91,35,0
2025-01-22,4242,128,10387.9,30,0
2025-01-23,4194,122,8928.91,23,0
2025-01-24,4649,200,18177.47,27,0
2025-01-25,5539,244,17464.71,23,0
2025-01-26,4950,169,12112.93,35,0
2025-01-27,4126,126,9565.92,30,0
2025-01-28,4038,155,11927.06,20,0
2025-01-29,4030,123,8864.1,28,0
2025-01-30,4080,151,9738.33,29,0
2025-01-31,3834,114,8285.8,33,0
2025-02-01,5897,245,18714.99,39,0
2025-02-02,4857,188,14067.87,21,0
2025-02-03,3630,111,7624.51,29,0
2025-02-04,4062,101,8975.79,26,0
2025-02-05,4471,158,11746.47,36,0
2025-02-06,4054,137,8168.18,24,0
2025-02-07,4540,150,9352.2,32,0
2025-02-08,5326,223,14641.97,25,0
2025-02-09,5349,243,18223.25,32,0
2025-02-10,4262,137,9005.98,22,0
2025-02-11,4552,178,13058.33,25,0
2025-02-12,4161,143,7941.48,15,0
2025-02-13,4138,127,8670.75,21,0
2025-02-14,4483,153,11898.35,36,0
2025-02-15,5591,238,19739.95,20,0
2025-02-16,5231,235,17755.97,40,0
2025-02-17,4454,146,11067.43,23,0
2025-02-18,4288,120,7677.2,27,0
2025-02-19,4260,138,8583.5,25,0
2025-02-20,4200,162,13198.03,27,0
2025-02-21,4286,138,7817.04,19,0
2025-02-22,6190,275,22854.8,32,0
2025-02-23,5331,266,19188.28,30,0
2025-02-24,4626,142,11643.36,28,0
2025-02-25,4028,125,8867.82,32,0
2025-02-26,4497,192,15291.62,30,0
2025-02-27,3843,143,9639.32,29,0
2025-02-28,4373,153,12303.42,32,0
2025-03-01,4906,184,15584.19,26,0
2025-03-02,5430,232,15814.24,30,0
2025-03-03,4125,171,13409.41,32,0
2025-03-04,3955,114,6992.77,27,0
2025-03-05,4083,156,11594.41,23,0
2025-03-06,3995,131,10303.55,28,0
2025-03-07,4504,130,8970.18,43,0
2025-03-08,4935,237,17671.25,23,0
2025-03-09,5154,232,15586.17,30,0
2025-03-10,4214,116,7797.63,29,0
2025-03-11,4099,123,11956.93,29,0
2025-03-12,3999,134,9305.83,35,0
2025-03-13,4339,151,10947.23,28,0
2025-03-14,4519,142,10440.09,30,0
2025-03-15,5400,254,19841.73,33,0
2025-03-16,5591,244,20890.5,22,0
2025-03-17,4209,154,10288.37,13,0
2025-03-18,3948,114,7817.98,34,0
2025-03-19,4183,123,7549.15,33,0
2025-03-20,4583,147,10096.23,32,0
2025-03-21,4230,146,8258.57,25,0
2025-03-22,5353,230,19365.24,26,0
2025-03-23,5226,240,16089.34,27,0
2025-03-24,4262,135,9946.35,22,0
2025-03-25,4130,149,9718.3,35,0
2025-03-26,4550,167,11807.49,35,0
2025-03-27,4178,141,9424.61,32,0
2025-03-28,4156,160,13670.78,25,0
2025-03-29,5451,205,13006.45,23,0
2025-03-30,5558,224,17668.97,25,0
2025-03-31,3965,109,8131.21,36,0
2025-04-01,4059,127,7081.64,38,0
2025-04-02,4278,134,9730.35,30,0
2025-04-03,3897,116,9407.18,25,0
2025-04-04,4734,161,9298.93,31,0
2025-04-05,5193,232,15625.43,19,0
2025-04-06,5881,262,18654.46,36,0
2025-04-07,4349,144,9912.55,33,0
2025-04-08,4114,141,10255.18,31,0
2025-04-09,4664,160,11818.6,25,0
2025-04-10,4406,126,10771.12,29,0
2025-04-11,4018,155,10090.86,23,0
2025-04-12,5514,231,17172.96,32,0
2025-04-13,4759,202,15942.23,28,0
2025-04-14,4208,136,9354.26,25,0
2025-04-15,4289,160,10779.14,36,0
2025-04-16,3723,120,8724.68,29,0
2025-04-17,4479,137,12255.43,38,0
2025-04-18,4146,172,11443.87,26,0
2025-04-19,5229,206,14082.99,24,0
2025-04-20,4880,185,13454.6,29,0
2025-04-21,4681,140,9737.05,37,0
2025-04-22,4440,149,10477.12,31,0
2025-04-23,4301,143,10908.3,21,0
2025-04-24,3812,97,6690.19,9,0
2025-04-25,4279,161,10304.17,25,0
2025-04-26,4822,181,13940.84,32,0
2025-04-27,5175,188,13331.18,14,0
2025-04-28,4310,172,11832.83,27,0
2025-04-29,4407,135,8430.76,33,0
2025-04-30,4087,141,8507.99,29,0
2025-05-01,4012,138,9976.47,31,0
2025-05-02,3540,129,9551.62,34,0
2025-05-03,5128,205,14237.35,23,0
2025-05-04,5202,226,16963.15,21,0
2025-05-05,3543,108,9000.16,33,0
2025-05-06,4277,153,10628.81,25,0
2025-05-07,4508,147,11434.24,23,0
2025-05-08,3557,130,8333.87,32,0
2025-05-09,4631,156,11325.25,23,0
2025-05-10,4734,193,14268.41,22,0
2025-05-11,5210,195,15071.14,24,0
2025-05-12,4269,180,12195.09,26,0
2025-05-13,4138,139,10714.08,28,0
2025-05-14,4371,136,8986.84,22,0
2025-05-15,4526,154,11790.11,31,0
2025-05-16,3995,143,11257.76,27,0
2025-05-17,4796,178,11851.98,35,0
2025-05-18,5130,249,15184.71,32,0
2025-05-19,4240,134,9073.95,32,0
2025-05-20,4387,159,12474.38,15,0
2025-05-21,4344,129,8544.08,37,0
2025-05-22,4532,159,10299.92,27,0
2025-05-23,4154,163,10886.35,27,0
2025-05-24,5036,215,17658.84,30,0
2025-05-25,5277,239,16334.77,29,0
2025-05-26,4007,154,13144.59,35,0
2025-05-27,4300,119,8240.91,16,0
2025-05-28,4052,179,12875.89,32,0
2025-05-29,4589,174,13759.65,33,0
2025-05-30,4292,179,12589.6,29,0
2025-05-31,5381,226,11822.37,28,0
2025-06-01,5562,236,19211.04,28,0
2025-06-02,4290,162,9425.01,38,0
2025-06-03,3967,152,9574.72,32,0
2025-06-04,4275,133,8637.19,21,0
