order_id,customer_id,product_id,order_date,channel,quantity,unit_price,discount_pct,returned,status
50000,10001,1012,2025-09-30,android,1,15.0,15.0,0,delivered
50001,10001,1003,2026-02-26,web,1,59.0,0.0,0,delivered
50002,10001,1013,2025-10-03,web,1,34.0,0.0,0,delivered
50003,10002,1009,2025-11-16,ios,1,69.0,10.0,1,returned
50004,10002,1009,2026-07-15,ios,1,69.0,0.0,0,delivered
50005,10002,1012,2025-04-22,ios,1,15.0,0.0,1,returned
50006,10002,1014,2025-09-09,web,1,89.0,0.0,0,delivered
50007,10002,1015,2025-12-12,android,1,490.0,0.0,1,returned
50008,10002,1006,2025-12-21,web,1,199.0,10.0,0,shipped
50009,10002,1001,2025-10-10,android,1,89.0,0.0,0,shipped
50010,10003,1009,2026-02-02,web,1,69.0,15.0,0,delivered
50011,10003,1011,2025-10-16,web,1,24.0,0.0,0,delivered
50012,10003,1005,2026-06-06,store,1,129.0,0.0,0,delivered
50013,10004,1006,2026-05-24,web,1,199.0,0.0,0,delivered
50014,10004,1011,2026-02-08,android,1,24.0,0.0,0,delivered
50015,10004,1005,2026-05-17,web,3,129.0,5.0,1,returned
50016,10004,1009,2026-06-17,android,1,69.0,10.0,0,delivered
50017,10004,1006,2026-05-22,web,2,199.0,15.0,0,delivered
50018,10004,1003,2026-01-29,store,1,59.0,5.0,0,delivered
50019,10004,1014,2026-03-11,ios,1,89.0,0.0,0,delivered
50020,10005,1010,2026-05-25,web,1,29.0,0.0,0,cancelled
50021,10005,1015,2026-02-10,ios,1,49.0,0.0,1,returned
50022,10005,1006,2025-07-21,web,3,199.0,0.0,1,returned
50023,10005,1006,2026-03-05,web,1,199.0,5.0,0,delivered
50024,10006,1001,2025-10-29,ios,1,89.0,5.0,0,delivered
50025,10006,1002,2026-02-09,android,1,149.0,0.0,0,delivered
50026,10006,1006,2026-01-15,ios,1,199.0,0.0,0,delivered
50027,10006,1015,2025-10-04,web,1,49.0,0.0,0,cancelled
50028,10006,1006,2025-08-26,web,1,199.0,5.0,0,delivered
